Instructions,Prompt,Response,text
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",میں نے یہ فلم پہلی بار اس وقت دیکھی تھی جب میں 14 سال کا تھا اور تب سے ہی یہ میرے ساتھ پھنس گیا ہے,میں نے یہ فلم پہلی بار اس وقت دیکھی تھی جب میں 14 سال کا تھا، اور تب سے ہی یہ میرے ساتھ پھنس گیا ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 میں نے یہ فلم پہلی بار اس وقت دیکھی تھی جب میں 14 سال کا تھا اور تب سے ہی یہ میرے ساتھ پھنس گیا ہے [/INST] 
Following is the correct sentence: میں نے یہ فلم پہلی بار اس وقت دیکھی تھی جب میں 14 سال کا تھا، اور تب سے ہی یہ میرے ساتھ پھنس گیا ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",جدید ہارر فلموں میں بہت سی فلموں کی طرح مشترکہ انسانیت کے علاوہ ان لوگوں میں سے کسی کی پرواہ کرنے کی کوئی وجوہات نہیں دی گئیں,جدید ہارر فلموں میں بہت سی فلموں کی طرح، مشترکہ انسانیت کے علاوہ ان لوگوں میں سے کسی کی پرواہ کرنے کی کوئی وجوہات نہیں دی گئیں۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 جدید ہارر فلموں میں بہت سی فلموں کی طرح مشترکہ انسانیت کے علاوہ ان لوگوں میں سے کسی کی پرواہ کرنے کی کوئی وجوہات نہیں دی گئیں [/INST] 
Following is the correct sentence: جدید ہارر فلموں میں بہت سی فلموں کی طرح، مشترکہ انسانیت کے علاوہ ان لوگوں میں سے کسی کی پرواہ کرنے کی کوئی وجوہات نہیں دی گئیں۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",مکالمے کو احتیاط سے تیار کیا گیا ہے اور اگرچہ یہ اسکرپٹ دیوار سے دیوار کی چہچہانا نہیں ہے حروف کے الفاظ انتہائی دانستہ اور معنی خیز ہیں,مکالمے کو احتیاط سے تیار کیا گیا ہے اور، اگرچہ یہ اسکرپٹ دیوار سے دیوار کی چہچہانا نہیں ہے، حروف کے الفاظ انتہائی دانستہ اور معنی خیز ہیں۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 مکالمے کو احتیاط سے تیار کیا گیا ہے اور اگرچہ یہ اسکرپٹ دیوار سے دیوار کی چہچہانا نہیں ہے حروف کے الفاظ انتہائی دانستہ اور معنی خیز ہیں [/INST] 
Following is the correct sentence: مکالمے کو احتیاط سے تیار کیا گیا ہے اور، اگرچہ یہ اسکرپٹ دیوار سے دیوار کی چہچہانا نہیں ہے، حروف کے الفاظ انتہائی دانستہ اور معنی خیز ہیں۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",ایک تیز فلم اور آسان کام والی فلم کا وزن بہت زیادہ ذاتی سامان کی وجہ سے کم ہوجاتا ہے اور اس کا نتیجہ فلم کو بھگتنا پڑتا ہے,ایک تیز فلم اور آسان کام والی فلم کا وزن بہت زیادہ ذاتی سامان کی وجہ سے کم ہوجاتا ہے، اور اس کا نتیجہ فلم کو بھگتنا پڑتا ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 ایک تیز فلم اور آسان کام والی فلم کا وزن بہت زیادہ ذاتی سامان کی وجہ سے کم ہوجاتا ہے اور اس کا نتیجہ فلم کو بھگتنا پڑتا ہے [/INST] 
Following is the correct sentence: ایک تیز فلم اور آسان کام والی فلم کا وزن بہت زیادہ ذاتی سامان کی وجہ سے کم ہوجاتا ہے، اور اس کا نتیجہ فلم کو بھگتنا پڑتا ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",بہت اچھا کام لیکن ایسی فلم کے لئے یہ بہت زیادہ کام کی طرح لگتا تھا جیسے ویڈیو حصے میں اس ساری زبردست میوزک کا مستحق نہیں تھا,بہت اچھا کام، لیکن ایسی فلم کے لئے یہ بہت زیادہ کام کی طرح لگتا تھا، جیسے ویڈیو حصے میں اس ساری زبردست میوزک کا مستحق نہیں تھا۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 بہت اچھا کام لیکن ایسی فلم کے لئے یہ بہت زیادہ کام کی طرح لگتا تھا جیسے ویڈیو حصے میں اس ساری زبردست میوزک کا مستحق نہیں تھا [/INST] 
Following is the correct sentence: بہت اچھا کام، لیکن ایسی فلم کے لئے یہ بہت زیادہ کام کی طرح لگتا تھا، جیسے ویڈیو حصے میں اس ساری زبردست میوزک کا مستحق نہیں تھا۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",رابرٹ ویگنر نے اپنی اداکاری کی بہترین صلاحیتیں پیش کیں انہوں نے ایک اچھا کام کیا لیکن اسکرپٹ نے ہر چیز کو نیچے لایا تھا,رابرٹ ویگنر نے اپنی اداکاری کی بہترین صلاحیتیں پیش کیں، انہوں نے ایک اچھا کام کیا، لیکن اسکرپٹ نے ہر چیز کو نیچے لایا تھا۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 رابرٹ ویگنر نے اپنی اداکاری کی بہترین صلاحیتیں پیش کیں انہوں نے ایک اچھا کام کیا لیکن اسکرپٹ نے ہر چیز کو نیچے لایا تھا [/INST] 
Following is the correct sentence: رابرٹ ویگنر نے اپنی اداکاری کی بہترین صلاحیتیں پیش کیں، انہوں نے ایک اچھا کام کیا، لیکن اسکرپٹ نے ہر چیز کو نیچے لایا تھا۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",کیون وین ہک کو شاید کہانی پر اچھا خیال تھا میری رائے میں لیکن مجھے اس طرح کی کہانیاں پسند ہیں لیکن چیزیں آخر کار نتیجہ نہیں نکلا,کیون وین ہک کو شاید کہانی پر اچھا خیال تھا میری رائے میں، لیکن مجھے اس طرح کی کہانیاں پسند ہیں، لیکن چیزیں آخر کار نتیجہ نہیں نکلا۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 کیون وین ہک کو شاید کہانی پر اچھا خیال تھا میری رائے میں لیکن مجھے اس طرح کی کہانیاں پسند ہیں لیکن چیزیں آخر کار نتیجہ نہیں نکلا [/INST] 
Following is the correct sentence: کیون وین ہک کو شاید کہانی پر اچھا خیال تھا میری رائے میں، لیکن مجھے اس طرح کی کہانیاں پسند ہیں، لیکن چیزیں آخر کار نتیجہ نہیں نکلا۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",تاہم اس کے واضح ہونے کے باوجود سارجنٹ رائکر ابھی بھی ایک متنازعہ اور مجبور امتحان کی حیثیت رکھتا ہے جیسے کہ آپ کتاب صرف نیچے نہیں ڈال سکتا,تاہم، اس کے واضح ہونے کے باوجود، سارجنٹ رائکر ابھی بھی ایک متنازعہ اور مجبور امتحان کی حیثیت رکھتا ہے، جیسے کہ آپ کتاب صرف نیچے نہیں ڈال سکتا۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 تاہم اس کے واضح ہونے کے باوجود سارجنٹ رائکر ابھی بھی ایک متنازعہ اور مجبور امتحان کی حیثیت رکھتا ہے جیسے کہ آپ کتاب صرف نیچے نہیں ڈال سکتا [/INST] 
Following is the correct sentence: تاہم، اس کے واضح ہونے کے باوجود، سارجنٹ رائکر ابھی بھی ایک متنازعہ اور مجبور امتحان کی حیثیت رکھتا ہے، جیسے کہ آپ کتاب صرف نیچے نہیں ڈال سکتا۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",مجھے اس کی پرواہ نہیں ہے کہ اگر کوئی فلم اتنی ہی اچھی ہے یا حقیقت میں اس کتاب سے کوئی مشابہت ہے جس پر مبنی ہے,مجھے اس کی پرواہ نہیں ہے کہ اگر کوئی فلم اتنی ہی اچھی ہے یا حقیقت میں، اس کتاب سے کوئی مشابہت ہے جس پر مبنی ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 مجھے اس کی پرواہ نہیں ہے کہ اگر کوئی فلم اتنی ہی اچھی ہے یا حقیقت میں اس کتاب سے کوئی مشابہت ہے جس پر مبنی ہے [/INST] 
Following is the correct sentence: مجھے اس کی پرواہ نہیں ہے کہ اگر کوئی فلم اتنی ہی اچھی ہے یا حقیقت میں، اس کتاب سے کوئی مشابہت ہے جس پر مبنی ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",اگرچہ ٹکڑے ٹکڑے کر کے پہلے جوڑے 1950 کے موٹاون کی آواز کی نقل کرتے ہیں باقی فلم صرف برا برا براڈوے شو میوزک کی ہے,اگرچہ ٹکڑے ٹکڑے کر کے پہلے جوڑے 1950 کے موٹاون کی آواز کی نقل کرتے ہیں، باقی فلم صرف برا برا براڈوے شو میوزک کی ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 اگرچہ ٹکڑے ٹکڑے کر کے پہلے جوڑے 1950 کے موٹاون کی آواز کی نقل کرتے ہیں باقی فلم صرف برا برا براڈوے شو میوزک کی ہے [/INST] 
Following is the correct sentence: اگرچہ ٹکڑے ٹکڑے کر کے پہلے جوڑے 1950 کے موٹاون کی آواز کی نقل کرتے ہیں، باقی فلم صرف برا برا براڈوے شو میوزک کی ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",ویواہ روایتی راستے پر واپس چلا گیا جس میں منگنی اور شادی کے مابین سفر کی ایک سمجھدار اور حقیقت پسندانہ کہانی میں سادہ کرداروں کی نمائش کی گئی ہے,ویواہ روایتی راستے پر واپس چلا گیا، جس میں منگنی اور شادی کے مابین سفر کی ایک سمجھدار اور حقیقت پسندانہ کہانی میں سادہ کرداروں کی نمائش کی گئی ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 ویواہ روایتی راستے پر واپس چلا گیا جس میں منگنی اور شادی کے مابین سفر کی ایک سمجھدار اور حقیقت پسندانہ کہانی میں سادہ کرداروں کی نمائش کی گئی ہے [/INST] 
Following is the correct sentence: ویواہ روایتی راستے پر واپس چلا گیا، جس میں منگنی اور شادی کے مابین سفر کی ایک سمجھدار اور حقیقت پسندانہ کہانی میں سادہ کرداروں کی نمائش کی گئی ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",فلم میں فلم کے مطابق نمایاں کارکردگی عمدہ کہانی اور زبردست موسیقی ہے جس کے ساتھ ہی یہ فلم سورج آر برجاٹیا نے بھی ہدایت کی ہے,فلم میں فلم کے مطابق نمایاں کارکردگی، عمدہ کہانی اور زبردست موسیقی ہے جس کے ساتھ ہی یہ فلم سورج آر برجاٹیا نے بھی ہدایت کی ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 فلم میں فلم کے مطابق نمایاں کارکردگی عمدہ کہانی اور زبردست موسیقی ہے جس کے ساتھ ہی یہ فلم سورج آر برجاٹیا نے بھی ہدایت کی ہے [/INST] 
Following is the correct sentence: فلم میں فلم کے مطابق نمایاں کارکردگی، عمدہ کہانی اور زبردست موسیقی ہے جس کے ساتھ ہی یہ فلم سورج آر برجاٹیا نے بھی ہدایت کی ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",اس کی طاقتور موجودگی کے باوجود کریمر کبھی بھی بوائز کو نہیں اٹھاتا جو اسٹین اور اولی کے دلکش کرشمے کو خراج تحسین پیش کرتا ہے,اس کی طاقتور موجودگی کے باوجود، کریمر کبھی بھی بوائز کو نہیں اٹھاتا، جو اسٹین اور اولی کے دلکش کرشمے کو خراج تحسین پیش کرتا ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 اس کی طاقتور موجودگی کے باوجود کریمر کبھی بھی بوائز کو نہیں اٹھاتا جو اسٹین اور اولی کے دلکش کرشمے کو خراج تحسین پیش کرتا ہے [/INST] 
Following is the correct sentence: اس کی طاقتور موجودگی کے باوجود، کریمر کبھی بھی بوائز کو نہیں اٹھاتا، جو اسٹین اور اولی کے دلکش کرشمے کو خراج تحسین پیش کرتا ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",اس کی وجہ یہ تھی کہ ہال روچ نے زیادہ تر حصے کے لئے ٹیم کے پیچھے رہنمائی کرنے والی قوت اسٹین لوریل کو مکمل فنکارانہ آزادی کی اجازت دی,اس کی وجہ یہ تھی کہ ہال روچ نے زیادہ تر حصے کے لئے، ٹیم کے پیچھے رہنمائی کرنے والی قوت، اسٹین لوریل کو مکمل فنکارانہ آزادی کی اجازت دی۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 اس کی وجہ یہ تھی کہ ہال روچ نے زیادہ تر حصے کے لئے ٹیم کے پیچھے رہنمائی کرنے والی قوت اسٹین لوریل کو مکمل فنکارانہ آزادی کی اجازت دی [/INST] 
Following is the correct sentence: اس کی وجہ یہ تھی کہ ہال روچ نے زیادہ تر حصے کے لئے، ٹیم کے پیچھے رہنمائی کرنے والی قوت، اسٹین لوریل کو مکمل فنکارانہ آزادی کی اجازت دی۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",لیکن میڈرڈ میں ایک پروفیسر جسے وہ جانتی ہیں اس نے جانوروں پر مادے کے ساتھ کچھ تجربات کیے ہیں جو خلیوں کو دوبارہ تخلیق کرتے ہیں,لیکن میڈرڈ میں، ایک پروفیسر جسے وہ جانتی ہیں اس نے جانوروں پر مادے کے ساتھ کچھ تجربات کیے ہیں جو خلیوں کو دوبارہ تخلیق کرتے ہیں۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 لیکن میڈرڈ میں ایک پروفیسر جسے وہ جانتی ہیں اس نے جانوروں پر مادے کے ساتھ کچھ تجربات کیے ہیں جو خلیوں کو دوبارہ تخلیق کرتے ہیں [/INST] 
Following is the correct sentence: لیکن میڈرڈ میں، ایک پروفیسر جسے وہ جانتی ہیں اس نے جانوروں پر مادے کے ساتھ کچھ تجربات کیے ہیں جو خلیوں کو دوبارہ تخلیق کرتے ہیں۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",جب وہ اپنے خفیہ کو خفیہ رکھنے کی بات کرتی ہے تو وہ ایک خوبصورت نوجوان عورت بن جاتی ہے لیکن شیطانی قاتل بھی بن جاتی ہے,جب وہ اپنے خفیہ کو خفیہ رکھنے کی بات کرتی ہے تو وہ ایک خوبصورت نوجوان عورت بن جاتی ہے، لیکن شیطانی قاتل بھی بن جاتی ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 جب وہ اپنے خفیہ کو خفیہ رکھنے کی بات کرتی ہے تو وہ ایک خوبصورت نوجوان عورت بن جاتی ہے لیکن شیطانی قاتل بھی بن جاتی ہے [/INST] 
Following is the correct sentence: جب وہ اپنے خفیہ کو خفیہ رکھنے کی بات کرتی ہے تو وہ ایک خوبصورت نوجوان عورت بن جاتی ہے، لیکن شیطانی قاتل بھی بن جاتی ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",فلم کا پلاٹ بہت ہی خوشگوار ہے لیکن پیرو ویواریلی کے پاس اتنی مہارت اور رقم نہیں تھی کہ اس سے کوئی اچھی فلم بن سکے,فلم کا پلاٹ بہت ہی خوشگوار ہے، لیکن پیرو ویواریلی کے پاس اتنی مہارت اور رقم نہیں تھی کہ اس سے کوئی اچھی فلم بن سکے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 فلم کا پلاٹ بہت ہی خوشگوار ہے لیکن پیرو ویواریلی کے پاس اتنی مہارت اور رقم نہیں تھی کہ اس سے کوئی اچھی فلم بن سکے [/INST] 
Following is the correct sentence: فلم کا پلاٹ بہت ہی خوشگوار ہے، لیکن پیرو ویواریلی کے پاس اتنی مہارت اور رقم نہیں تھی کہ اس سے کوئی اچھی فلم بن سکے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",چند منٹ پہلے وہ صرف اتنا بڑا تھا کہ انسان کھا سکے لیکن اب وہ ایک پورے سائز کے کارگو وین کو بونا دیتا ہے یہ واقعی قابل رحم ہے,چند منٹ پہلے، وہ صرف اتنا بڑا تھا کہ انسان کھا سکے، لیکن اب وہ ایک پورے سائز کے کارگو وین کو بونا دیتا ہے یہ واقعی قابل رحم ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 چند منٹ پہلے وہ صرف اتنا بڑا تھا کہ انسان کھا سکے لیکن اب وہ ایک پورے سائز کے کارگو وین کو بونا دیتا ہے یہ واقعی قابل رحم ہے [/INST] 
Following is the correct sentence: چند منٹ پہلے، وہ صرف اتنا بڑا تھا کہ انسان کھا سکے، لیکن اب وہ ایک پورے سائز کے کارگو وین کو بونا دیتا ہے یہ واقعی قابل رحم ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",ان کی بیٹی کے بہیمانہ قتل کے بعد جولی اور ایلن دور دراز پہاڑ پر واقع تنہا کیبن میں سکون ڈھونڈنے اور غمزدہ کرنے کے لئے شہر سے فرار ہوگئے,ان کی بیٹی کے بہیمانہ قتل کے بعد، جولی اور ایلن دور دراز پہاڑ پر واقع تنہا کیبن میں سکون ڈھونڈنے اور غمزدہ کرنے کے لئے شہر سے فرار ہوگئے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 ان کی بیٹی کے بہیمانہ قتل کے بعد جولی اور ایلن دور دراز پہاڑ پر واقع تنہا کیبن میں سکون ڈھونڈنے اور غمزدہ کرنے کے لئے شہر سے فرار ہوگئے [/INST] 
Following is the correct sentence: ان کی بیٹی کے بہیمانہ قتل کے بعد، جولی اور ایلن دور دراز پہاڑ پر واقع تنہا کیبن میں سکون ڈھونڈنے اور غمزدہ کرنے کے لئے شہر سے فرار ہوگئے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",فلم کا بہاؤ یقینی طور پر تھوڑا سا گڑبڑا ہوا ہے جو کبھی کبھی تقریبا الجھا ہوا ہوتا ہے لیکن کرداروں کو ایسا ہی لگتا ہے,فلم کا بہاؤ یقینی طور پر تھوڑا سا گڑبڑا ہوا ہے، جو کبھی کبھی تقریبا الجھا ہوا ہوتا ہے، لیکن کرداروں کو ایسا ہی لگتا ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 فلم کا بہاؤ یقینی طور پر تھوڑا سا گڑبڑا ہوا ہے جو کبھی کبھی تقریبا الجھا ہوا ہوتا ہے لیکن کرداروں کو ایسا ہی لگتا ہے [/INST] 
Following is the correct sentence: فلم کا بہاؤ یقینی طور پر تھوڑا سا گڑبڑا ہوا ہے، جو کبھی کبھی تقریبا الجھا ہوا ہوتا ہے، لیکن کرداروں کو ایسا ہی لگتا ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",اس نے بہت عمدہ کارکردگی کا مظاہرہ کیا لیکن جولینین نکلسن اور لارین گراہم نے اپنے اپنے دونوں انداز میں میرے لئے شو چوری کیا,اس نے بہت عمدہ کارکردگی کا مظاہرہ کیا، لیکن جولینین نکلسن اور لارین گراہم نے اپنے اپنے دونوں انداز میں، میرے لئے شو چوری کیا۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 اس نے بہت عمدہ کارکردگی کا مظاہرہ کیا لیکن جولینین نکلسن اور لارین گراہم نے اپنے اپنے دونوں انداز میں میرے لئے شو چوری کیا [/INST] 
Following is the correct sentence: اس نے بہت عمدہ کارکردگی کا مظاہرہ کیا، لیکن جولینین نکلسن اور لارین گراہم نے اپنے اپنے دونوں انداز میں، میرے لئے شو چوری کیا۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",یہاں پیش کردہ نتائج کے بارے میں حیرت کی کوئی بات نہیں ہے لیکن پوری فلم میں ان کا انکشاف ہوتا دیکھ کر دل لگی ہے,یہاں پیش کردہ نتائج کے بارے میں حیرت کی کوئی بات نہیں ہے، لیکن پوری فلم میں ان کا انکشاف ہوتا دیکھ کر دل لگی ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 یہاں پیش کردہ نتائج کے بارے میں حیرت کی کوئی بات نہیں ہے لیکن پوری فلم میں ان کا انکشاف ہوتا دیکھ کر دل لگی ہے [/INST] 
Following is the correct sentence: یہاں پیش کردہ نتائج کے بارے میں حیرت کی کوئی بات نہیں ہے، لیکن پوری فلم میں ان کا انکشاف ہوتا دیکھ کر دل لگی ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",فلم میں ویسے بھی پہلے ہی بہت زیادہ الجھن ہے لہذا یہ دیکھنے کے زاویے اسے خراب کردیتے ہیں اور فن پاروں کی مدد کرنے میں مدد نہیں دیتے ہیں,فلم میں ویسے بھی پہلے ہی بہت زیادہ الجھن ہے، لہذا یہ دیکھنے کے زاویے اسے خراب کردیتے ہیں اور فن پاروں کی مدد کرنے میں مدد نہیں دیتے ہیں۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 فلم میں ویسے بھی پہلے ہی بہت زیادہ الجھن ہے لہذا یہ دیکھنے کے زاویے اسے خراب کردیتے ہیں اور فن پاروں کی مدد کرنے میں مدد نہیں دیتے ہیں [/INST] 
Following is the correct sentence: فلم میں ویسے بھی پہلے ہی بہت زیادہ الجھن ہے، لہذا یہ دیکھنے کے زاویے اسے خراب کردیتے ہیں اور فن پاروں کی مدد کرنے میں مدد نہیں دیتے ہیں۔ </s>"
